Model,City,Year,Mileage,FuelType,Transmission,Color,Assembly,EngineCapacity,Price
Swift DLX Automatic 1.3,Karachi,2021,1 - 165000,Petrol,Automatic,Silky Silver,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2021,1 - 165000,Petrol,Automatic,Silky Silver,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Lahore,2016,1 - 165000,Petrol,Automatic,Graphite Grey,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Lahore,2016,1 - 165000,Petrol,Automatic,Maroon,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Lahore,2020,1 - 165000,Petrol,Automatic,Solid White,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Lahore,2021,1 - 165000,Petrol,Automatic,Grey,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Lahore,2021,1 - 165000,Petrol,Automatic,Silky Silver,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Rawalpindi,2013,1 - 165000,Petrol,Automatic,Graphite Grey,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Rawalpindi,2021,1 - 165000,Petrol,Automatic,Silver,Local,1300,2690000 - 3529999
Swift DX 1.3,Karachi,2014,1 - 165000,Petrol,Manual,Maroon,Local,1300,1010000 - 1849999
Wagon R,Islamabad,2015,1 - 165000,Petrol,Automatic,White,Imported,660,1850000 - 2689999
Wagon R,Islamabad,2020,1 - 165000,Hybrid,Automatic,Burgundy,Imported,660,3530000 - 4369999
Wagon R,Islamabad,2020,1 - 165000,Petrol,Automatic,Blue,Imported,660,3530000 - 4369999
Wagon R,Karachi,2020,1 - 165000,Hybrid,Automatic,Brown,Imported,660,3530000 - 4369999
Wagon R,Karachi,2020,1 - 165000,Hybrid,Automatic,Black,Imported,660,3530000 - 4369999
Wagon R,Karachi,2020,1 - 165000,Hybrid,Automatic,Silver,Imported,660,3530000 - 4369999
Wagon R,Karachi,2020,1 - 165000,Hybrid,Automatic,Pearl White,Imported,660,3530000 - 4369999
Wagon R,Karachi,2021,1 - 165000,Hybrid,Automatic,White,Imported,660,3530000 - 4369999
Wagon R,Lahore,2017,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Wagon R,Lahore,2021,1 - 165000,Petrol,Automatic,Silver,Imported,660,3530000 - 4369999
Wagon R,Lahore,2021,1 - 165000,Hybrid,Automatic,White,Imported,660,3530000 - 4369999
Wagon R AGS,Islamabad,2021,1 - 165000,Petrol,Automatic,Solid White,Local,1000,2690000 - 3529999
Wagon R AGS,Lahore,2021,1 - 165000,Petrol,Automatic,White,Local,1000,2690000 - 3529999
Wagon R AGS,Lahore,2021,1 - 165000,Petrol,Automatic,Solid White,Local,1000,2690000 - 3529999
Wagon R FX,Islamabad,2015,1 - 165000,Petrol,Automatic,Black,Imported,660,1850000 - 2689999
Wagon R FX,Islamabad,2017,1 - 165000,Petrol,Automatic,Silky Silver Metallic,Imported,660,2690000 - 3529999
Wagon R FX,Karachi,2014,1 - 165000,Petrol,Automatic,Bluish Black Pearl,Imported,660,1010000 - 1849999
Wagon R FX,Lahore,2013,1 - 165000,Petrol,Automatic,White,Imported,660,1850000 - 2689999
Wagon R Hybrid FX,Islamabad,2019,1 - 165000,Hybrid,Automatic,Solid White,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Islamabad,2020,1 - 165000,Hybrid,Automatic,White,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Islamabad,2021,1 - 165000,Hybrid,Automatic,White,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Karachi,2019,1 - 165000,Hybrid,Automatic,Brown,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Karachi,2020,1 - 165000,Hybrid,Automatic,Silver,Imported,660,2690000 - 3529999
Wagon R Hybrid FX,Karachi,2020,1 - 165000,Hybrid,Automatic,Burgundy,Imported,660,2690000 - 3529999
Wagon R Hybrid FX,Karachi,2021,1 - 165000,Hybrid,Automatic,Silver,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Karachi,2021,1 - 165000,Hybrid,Automatic,Black,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Lahore,2019,1 - 165000,Hybrid,Automatic,Silky Blue,Imported,660,2690000 - 3529999
Wagon R Hybrid FX,Lahore,2019,1 - 165000,Hybrid,Automatic,White,Imported,660,3530000 - 4369999
Wagon R Hybrid FX,Lahore,2019,1 - 165000,Hybrid,Automatic,Orange,Imported,660,3530000 - 4369999
